ts_code,symbol,name,area,market,exchange,list_date,申万一级行业,申万二级行业,申万三级行业,三级指数代码
000156.SZ,000156,华数传媒,浙江,主板,SZSE,20000906,传媒,电视广播Ⅱ,电视广播Ⅲ,859951.SI
000651.SZ,000651,格力电器,广东,主板,SZSE,19961118,家用电器,白色家电,空调,851112.SI
000655.SZ,000655,金岭矿业,山东,主板,SZSE,19961128,钢铁,冶钢原料,铁矿石,850431.SI
000670.SZ,000670,盈方微,湖北,主板,SZSE,19961217,电子,其他电子Ⅱ,其他电子Ⅲ,850841.SI
000034.SZ,000034,神州数码,深圳,主板,SZSE,19940509,计算机,IT服务Ⅱ,IT服务Ⅲ,852226.SI
000338.SZ,000338,潍柴动力,山东,主板,SZSE,20070430,汽车,汽车零部件,底盘与发动机系统,850923.SI
000681.SZ,000681,视觉中国,江苏,主板,SZSE,19970121,传媒,数字媒体,图片媒体,857673.SI
000750.SZ,000750,国海证券,广西,主板,SZSE,19970709,非银金融,证券Ⅱ,证券Ⅲ,851931.SI
000751.SZ,000751,锌业股份,辽宁,主板,SZSE,19970626,有色金属,工业金属,铅锌,850553.SI
000897.SZ,000897,津滨发展,天津,主板,SZSE,19990422,房地产,房地产开发,住宅开发,851811.SI
001213.SZ,001213,中铁特货,北京,主板,SZSE,20210908,交通运输,铁路公路,铁路运输,851771.SI
001267.SZ,001267,汇绿生态,湖北,主板,SZSE,20211117,通信,通信设备,通信网络设备及器件,851024.SI
001268.SZ,001268,联合精密,广东,主板,SZSE,20220630,家用电器,家电零部件Ⅱ,家电零部件Ⅲ,851161.SI
001269.SZ,001269,欧晶科技,内蒙,主板,SZSE,20220930,电力设备,光伏设备,光伏辅材,857354.SI
001270.SZ,001270,铖昌科技,浙江,主板,SZSE,20220606,国防军工,军工电子Ⅱ,军工电子Ⅲ,857451.SI
001277.SZ,001277,速达股份,河南,主板,SZSE,20240903,机械设备,专用设备,能源及重型设备,850725.SI
001278.SZ,001278,一彬科技,浙江,主板,SZSE,20230308,汽车,汽车零部件,车身附件及饰件,850922.SI
001279.SZ,001279,强邦新材,安徽,主板,SZSE,20241011,轻工制造,包装印刷,印刷,851422.SI
001280.SZ,001280,中国铀业,北京,主板,SZSE,20251203,有色金属,小金属,稀土,850541.SI
001283.SZ,001283,豪鹏科技,深圳,主板,SZSE,20220905,电力设备,电池,锂电池,857371.SI
001285.SZ,001285,瑞立科密,广东,主板,SZSE,20250930,汽车,汽车零部件,底盘与发动机系统,850923.SI
001286.SZ,001286,陕西能源,陕西,主板,SZSE,20230410,公用事业,电力,火力发电,851611.SI
001287.SZ,001287,中电港,深圳,主板,SZSE,20230410,电子,其他电子Ⅱ,其他电子Ⅲ,850841.SI
001288.SZ,001288,运机集团,四川,主板,SZSE,20211101,机械设备,专用设备,能源及重型设备,850725.SI
001289.SZ,001289,龙源电力,北京,主板,SZSE,20220124,公用事业,电力,风力发电,851617.SI
001296.SZ,001296,长江材料,重庆,主板,SZSE,20211224,基础化工,非金属材料Ⅱ,非金属材料Ⅲ,850523.SI
001298.SZ,001298,好上好,深圳,主板,SZSE,20221031,电子,其他电子Ⅱ,其他电子Ⅲ,850841.SI
001299.SZ,001299,美能能源,陕西,主板,SZSE,20221031,公用事业,燃气Ⅱ,燃气Ⅲ,851631.SI
000019.SZ,000019,深粮控股,深圳,主板,SZSE,19921012,农林牧渔,农产品加工,粮油加工,850152.SI
000652.SZ,000652,泰达股份,天津,主板,SZSE,19961128,综合,综合Ⅱ,综合Ⅲ,852311.SI
000797.SZ,000797,中国武夷,福建,主板,SZSE,19970715,房地产,房地产开发,住宅开发,851811.SI
001300.SZ,001300,三柏硕,山东,主板,SZSE,20221019,轻工制造,文娱用品,娱乐用品,851452.SI
001301.SZ,001301,尚太科技,河北,主板,SZSE,20221228,电力设备,电池,电池化学品,857372.SI
001306.SZ,001306,夏厦精密,浙江,主板,SZSE,20231116,机械设备,通用设备,金属制品,850751.SI
001308.SZ,001308,康冠科技,深圳,主板,SZSE,20220318,电子,光学光电子,面板,850831.SI
001309.SZ,001309,德明利,深圳,主板,SZSE,20220701,电子,半导体,数字芯片设计,850814.SI
001311.SZ,001311,多利科技,安徽,主板,SZSE,20230227,汽车,汽车零部件,其他汽车零部件,850925.SI
001313.SZ,001313,粤海饲料,广东,主板,SZSE,20220216,农林牧渔,饲料,水产饲料,850143.SI
001314.SZ,001314,亿道信息,深圳,主板,SZSE,20230214,电子,消费电子,消费电子零部件及组装,850854.SI
001316.SZ,001316,润贝航科,深圳,主板,SZSE,20220624,石油石化,炼化及贸易,油品石化贸易,859632.SI
001317.SZ,001317,三羊马,重庆,主板,SZSE,20211130,交通运输,铁路公路,铁路运输,851771.SI
001318.SZ,001318,阳光乳业,江西,主板,SZSE,20220520,食品饮料,饮料乳品,乳品,851243.SI
001319.SZ,001319,铭科精技,广东,主板,SZSE,20220512,汽车,汽车零部件,车身附件及饰件,850922.SI
001322.SZ,001322,箭牌家居,广东,主板,SZSE,20221026,轻工制造,家居用品,卫浴制品,851439.SI
001323.SZ,001323,慕思股份,广东,主板,SZSE,20220623,轻工制造,家居用品,成品家居,851437.SI
001324.SZ,001324,长青科技,江苏,主板,SZSE,20230522,机械设备,轨交设备Ⅱ,轨交设备Ⅲ,850936.SI
001326.SZ,001326,联域股份,深圳,主板,SZSE,20231109,家用电器,照明设备Ⅱ,照明设备Ⅲ,851151.SI
001328.SZ,001328,登康口腔,重庆,主板,SZSE,20230410,美容护理,个护用品,洗护用品,859812.SI
001330.SZ,001330,博纳影业,新疆,主板,SZSE,20220818,传媒,影视院线,影视动漫制作,857661.SI
001331.SZ,001331,胜通能源,山东,主板,SZSE,20220908,公用事业,燃气Ⅱ,燃气Ⅲ,851631.SI
001332.SZ,001332,锡装股份,江苏,主板,SZSE,20220920,机械设备,专用设备,能源及重型设备,850725.SI
001335.SZ,001335,信凯科技,浙江,主板,SZSE,20250415,基础化工,化学制品,涂料油墨,850335.SI
001336.SZ,001336,楚环科技,浙江,主板,SZSE,20220725,环保,环保设备Ⅱ,环保设备Ⅲ,859721.SI
001337.SZ,001337,四川黄金,四川,主板,SZSE,20230303,有色金属,贵金属,黄金,850531.SI
000020.SZ,000020,深华发A,深圳,主板,SZSE,19920428,电子,光学光电子,面板,850831.SI
000514.SZ,000514,渝开发,重庆,主板,SZSE,19930712,房地产,房地产开发,住宅开发,851811.SI
000528.SZ,000528,柳工,广西,主板,SZSE,19931118,机械设备,工程机械,工程机械整机,850771.SI
000529.SZ,000529,广弘控股,广东,主板,SZSE,19931118,食品饮料,食品加工,肉制品,851241.SI
000548.SZ,000548,湖南投资,湖南,主板,SZSE,19931220,交通运输,铁路公路,高速公路,851731.SI
000819.SZ,000819,岳阳兴长,湖南,主板,SZSE,19970625,石油石化,炼化及贸易,其他石化,859633.SI
001338.SZ,001338,永顺泰,广东,主板,SZSE,20221116,农林牧渔,农产品加工,其他农产品加工,850154.SI
001339.SZ,001339,智微智能,深圳,主板,SZSE,20220815,计算机,计算机设备,其他计算机设备,850703.SI
001356.SZ,001356,富岭股份,浙江,主板,SZSE,20250123,轻工制造,家居用品,其他家居用品,851491.SI
001358.SZ,001358,兴欣新材,浙江,主板,SZSE,20231221,基础化工,化学制品,其他化学制品,850339.SI
001359.SZ,001359,平安电工,湖北,主板,SZSE,20240328,基础化工,塑料,膜材料,850355.SI
001360.SZ,001360,南矿集团,江西,主板,SZSE,20230410,机械设备,专用设备,能源及重型设备,850725.SI
001367.SZ,001367,海森药业,浙江,主板,SZSE,20230410,医药生物,化学制药,原料药,851511.SI
001368.SZ,001368,通达创智,福建,主板,SZSE,20230313,轻工制造,文娱用品,娱乐用品,851452.SI
001369.SZ,001369,双欣材料,内蒙,主板,SZSE,20251230,基础化工,化学纤维,其他化学纤维,850344.SI
001373.SZ,001373,翔腾新材,江苏,主板,SZSE,20230601,电子,光学光电子,光学元件,850833.SI
001376.SZ,001376,百通能源,江西,主板,SZSE,20231103,公用事业,电力,热力服务,851614.SI
001378.SZ,001378,德冠新材,广东,主板,SZSE,20231030,基础化工,塑料,膜材料,850355.SI
001379.SZ,001379,腾达科技,山东,主板,SZSE,20240119,机械设备,通用设备,金属制品,850751.SI
001380.SZ,001380,华纬科技,浙江,主板,SZSE,20230516,汽车,汽车零部件,底盘与发动机系统,850923.SI
001382.SZ,001382,新亚电缆,广东,主板,SZSE,20250321,电力设备,电网设备,线缆部件及其他,857344.SI
001386.SZ,001386,马可波罗,广东,主板,SZSE,20251022,轻工制造,家居用品,瓷砖地板,851436.SI
000021.SZ,000021,深科技,深圳,主板,SZSE,19940202,电子,消费电子,消费电子零部件及组装,850854.SI
